"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 21, 2018","96.690","97.830","99.100","96.150","82.44K","-1.17%"
"Jun 20, 2018","97.830","98.590","99.000","95.510","97.61K","-0.76%"
"Jun 19, 2018","98.580","98.630","101.650","97.000","129.72K","-0.05%"
"Jun 18, 2018","98.630","95.090","99.700","93.200","151.68K","3.81%"
"Jun 17, 2018","95.010","96.720","98.000","94.750","63.65K","-1.72%"
"Jun 16, 2018","96.670","95.540","97.640","92.790","91.15K","1.18%"
"Jun 15, 2018","95.540","101.120","101.120","94.750","153.06K","-5.52%"
"Jun 14, 2018","101.120","93.820","103.040","93.000","352.68K","7.78%"
"Jun 13, 2018","93.820","100.180","100.570","89.250","391.90K","-6.36%"
"Jun 12, 2018","100.190","107.470","107.950","97.510","276.89K","-6.70%"
"Jun 11, 2018","107.390","106.970","109.020","103.200","218.15K","0.39%"
"Jun 10, 2018","106.970","117.430","117.430","103.370","344.83K","-8.91%"
"Jun 09, 2018","117.430","120.040","120.950","117.150","56.43K","-2.17%"
"Jun 08, 2018","120.040","121.620","121.950","118.590","77.74K","-1.31%"
"Jun 07, 2018","121.630","121.370","123.480","119.650","89.31K","0.21%"
"Jun 06, 2018","121.370","121.950","122.660","118.480","98.44K","-0.41%"
"Jun 05, 2018","121.870","119.900","122.490","116.170","128.79K","1.67%"
"Jun 04, 2018","119.870","125.140","126.690","118.220","103.86K","-4.10%"
"Jun 03, 2018","125.000","123.650","127.950","122.560","102.01K","1.08%"
"Jun 02, 2018","123.660","119.890","124.450","118.610","96.61K","3.15%"
"Jun 01, 2018","119.880","118.370","120.690","117.000","90.16K","1.28%"
"May 31, 2018","118.360","117.180","120.990","116.490","112.84K","1.01%"
"May 30, 2018","117.180","119.660","122.850","115.000","135.86K","-1.98%"
"May 29, 2018","119.550","111.240","122.700","110.000","188.77K","7.47%"
"May 28, 2018","111.240","117.840","118.950","110.510","181.56K","-5.59%"
"May 27, 2018","117.830","118.320","118.980","116.510","76.25K","-0.42%"
"May 26, 2018","118.330","119.060","122.630","117.500","77.38K","-0.61%"
"May 25, 2018","119.060","123.000","124.440","117.300","139.09K","-3.20%"
"May 24, 2018","123.000","118.860","125.250","115.110","213.87K","3.49%"
"May 23, 2018","118.850","128.070","129.350","116.270","309.53K","-7.23%"
"May 22, 2018","128.110","134.260","135.750","127.600","126.06K","-4.58%"
"May 21, 2018","134.260","139.370","139.980","133.600","99.11K","-3.67%"
"May 20, 2018","139.380","134.990","140.700","132.200","108.10K","3.24%"
"May 19, 2018","135.000","136.310","138.010","133.250","91.26K","-0.95%"
"May 18, 2018","136.300","132.640","137.600","129.100","208.00K","2.75%"
"May 17, 2018","132.650","139.350","141.750","131.370","175.54K","-4.81%"
"May 16, 2018","139.360","139.770","140.990","135.000","181.20K","-0.30%"
"May 15, 2018","139.780","147.330","149.610","138.100","238.72K","-5.12%"
"May 14, 2018","147.320","144.430","152.780","134.500","396.97K","2.00%"
"May 13, 2018","144.430","142.050","146.730","137.200","159.88K","1.71%"
"May 12, 2018","142.000","136.510","145.000","131.880","225.67K","4.02%"
"May 11, 2018","136.510","148.180","148.610","133.520","448.05K","-7.88%"
"May 10, 2018","148.180","156.840","160.450","148.010","199.76K","-5.52%"
"May 09, 2018","156.830","158.980","160.220","151.050","217.00K","-1.35%"
"May 08, 2018","158.980","164.090","168.100","157.010","260.26K","-3.11%"
"May 07, 2018","164.090","171.150","171.620","157.250","308.43K","-4.08%"
"May 06, 2018","171.070","177.740","181.950","165.100","294.46K","-3.75%"
